object_id,gmted_drainage_density_without_1,srtm_filled_dem,GCN250_ARCIII_average,Inundation,sum,assam_dist_from_major_rivers_updated_3857,strm_filled_slope_degrees,ndvi,assam_soil_silt,assam_soil_loamysand,assam_soil_rocky,assam_lith_neogene,assam_lith_paleogene,assam_lith_paleozoic,assam_lith_quaternary,assam_lith_tertiary,assam_lith_undevelopedprecambrian,assam_lith_water,landuse_rangeland,landuse_vegetation,landuse_water,ind_ppp_UNadj,aged,young,percaay,deprived,nophone,noSanitation,nodrinkingWater,totLivestock,proximity_hosptial_rd,proximity_embankment_rd,proximity_rail_rd,proximity_local_rd,proximity_arterial_rd,ndbi,population_affected,crop_area_affected,human_lives_lost,roads_dam,bridges_dam,embankment_total,Count_Roads_Bridges_Embankments,Sum_Roads_Bridges_Embankments,Count_Erosion,Sum_Erosion,Count_IM,Sum_IM,Count_new_const,Sum_new_const,Count_repair_rest_imp,Sum_repair_rest_imp,Count_relief_preparation,Sum_relief_preparation,Count_goods,Sum_goods,Count_Total,Sum_Total,Count_SDRF,Sum_SDRF,Count_SOPD,Sum_SOPD,Count_CIDF,Sum_CIDF,Count_LTIF,Sum_LTIF,Count_RIDF,Sum_RIDF
111,0.0006671176347,31.57416673,90.00112986,0.5675311162,2487.050267,3060.438,87.95546434,0.6534874713,0,1,0,0,0,0,1,0,0,0,0,1,0,1257,5,180,151,321,564,502,2,1839,2595.755924,6.39E-05,3979.556994,240.0341143,1948.956471,0.52434347,1179,3851,0,149,16,2,12,106270377,1,12326241,2,15134348,5,55188304,7,51082073,0,0,0,0,13,118596618,2,15134348,10,91136029,0,0,0,0,1,12326241
112,0.0006681245992,29.51550498,90.58396834,0.5005691577,2085.122368,3265.090994,83.39909394,0.6015256851,0,1,0,0,0,0,1,0,0,0,0,1,0,3088,147,453,283,505,1386,1183,23,4272,3197.444794,0.0001827077213,6549.910454,831.4721838,4667.91398,0.5316776343,522666,3794,2,160,28,2,29,820879735,7,332323066,21,697031223,2,20118843,28,826194120,0,0,0,0,41,1335198351,21,697031223,12,440980163,0,0,0,0,7,188886965
113,0.0006353356674,37.67501643,89.84620354,0.6137646244,2323.480486,10919.44418,88.63814465,0.6673550796,0,1,0,0,0,0,1,0,0,0,0,1,0,2470,80,364,249,370,995,971,6,3549,2820.312953,6.97E-05,4380.059684,236.9757967,2833.852008,0.5317741236,393059,9501.4,5,177,16,2,24,303066527,2,19802652,15,115457763,2,124483100,26,214013358,0,0,0,0,30,358299110,15,115457763,12,106537595,0,0,0,0,3,136303752
114,0.000592004414,42.21913728,89.2548181,0.5991649017,2462.965778,7564.822272,87.68679479,0.6706228385,0,1,0,0,0,0,1,0,0,0,0,1,0,558,4,65,40,145,143,183,1,647,2516.853633,6.49E-05,2514.849863,316.3672256,1840.468018,0.5088485031,168683,5808.2,1,132,16,3,2,38798000,0,0,0,0,0,0,3,44797943,0,0,0,0,3,44797943,0,0,3,44797943,0,0,0,0,0,0
115,0.0006150391974,35.3270351,90.50531207,0.3979714395,2351.101052,13946.30359,80.1398723,0.5750612503,0,0,0,0,0,0,1,0,0,0,0,1,0,1615,0,222,62,374,982,423,110,2225,4130.243789,0.0004774718635,18200.94073,913.0714645,4562.78516,0.5206995616,458793,27914,7,42,5,2,11,182851842,4,39816611,8,44944835,5,144178278,8,53253094,0,0,0,0,18,246951796,7,40895175,7,56834531,0,0,0,0,3,136385090
116,0.0005332594459,64.70370104,88.82010228,0.2757479244,2491.488209,14895.54689,87.35465606,0.687711813,0,0,0,0,0,0,1,0,0,0,0,1,0,2414,12,356,113,329,985,570,165,3368,3197.033397,0.0003720265266,10298.86344,435.0131674,2453.504955,0.5165527873,219639,11574.84,4,24,7,2,14,324183125,0,0,6,205940184,3,78264458,9,116611758,0,0,0,0,14,324183125,6,205940184,4,37425874,0,0,0,0,3,73291609
117,0.0005849849319,49.7637832,89.36775647,0.54040938,2266.533001,13926.53693,86.76804875,0.6638644413,0,0,0,0,0,0,1,0,0,0,0,1,0,2391,0,363,119,406,890,617,233,3363,3069.625871,0.0003117922884,5728.632063,329.3442527,2740.167929,0.5535540977,74216,7673.2,7,12,4,4,6,121027517,20,852037292,5,117893105,2,67376000,6,86545135,0,0,0,0,27,1003064457,5,117893105,5,95846853,0,0,0,0,0,0
118,0.0005606166498,54.71464418,89.33010896,0.1094631083,2083.518897,22572.73636,89.22075798,0.7029411063,0,0,0,0,0,0,1,0,0,0,0,1,0,559,0,23,4,46,136,181,6,772,3010.789982,0.000147964404,2641.056468,231.9042491,2449.9311,0.555064996,82,86,0,6,4,3,2,29999410,2,119470314,2,29999410,0,0,0,0,0,0,0,0,4,149469724,2,29999410,2,119470314,0,0,0,0,0,0
119,0.0005647592137,52.47068052,89.13912344,0.2242216302,1620.664917,24057.78858,89.29780927,0.707248561,0,0,0,0,0,0,1,0,0,0,0,1,0,1113,0,151,22,157,335,281,56,1495,3274.57491,7.44E-05,5110.806266,273.8596052,2620.829617,0.5351132738,0,5271,4,4,4,2,6,162132335,0,0,1,4985888,5,157146447,1,4985888,0,0,0,0,6,162132335,1,4985888,1,2437624,0,0,0,0,0,0
120,0.0006631848966,40.25481442,90.57443046,0.3224339271,2477.798265,5333.948622,78.65473641,0.6131005213,0,1,0,0,0,0,1,0,0,0,0,1,0,1693,68,209,177,296,981,629,0,1529,2917.419218,0.0004658927746,14980.93815,636.0812196,3181.486965,0.498168017,710468,6569.6,8,931,127,74,1,6921000,0,0,0,0,1,6921000,0,0,0,0,0,0,1,6921000,0,0,1,6921000,0,0,0,0,0,0
